id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,last_updated,is_volatile_24h
worldcoin-wld,wld,Worldcoin,0.96,1270652320,133289473.0,-6.2,-17.85,2025-05-03 22:48:03.763000+00:00,False
jupiter-exchange-solana,jup,Jupiter,0.44,1263864388,30098429.0,-5.57,-9.56,2025-05-03 22:48:09.165000+00:00,False
nexo,nexo,NEXO,1.25,1252555975,7830427.0,0.02,8.91,2025-05-03 22:48:11.762000+00:00,False
quant-network,qnt,Quant,84.71,1232044585,18918211.0,0.18,11.35,2025-05-03 22:48:06.712000+00:00,False
binance-staked-sol,bnsol,Binance Staked SOL,154.91,1203826790,952653.0,0.08,-0.49,2025-05-03 22:48:15.434000+00:00,False
flare-networks,flr,Flare,0.02,1202203870,17674908.0,6.0,14.16,2025-05-03 22:48:11.857000+00:00,False
blockstack,stx,Stacks,0.78,1182982580,28321369.0,-5.26,-8.16,2025-05-03 22:48:11.914000+00:00,False
xdce-crowd-sale,xdc,XDC Network,0.07,1156943325,31710719.0,-4.03,-1.33,2025-05-03 22:48:11.619000+00:00,False
optimism,op,Optimism,0.68,1132958141,102714781.0,-3.54,-18.43,2025-05-03 22:48:06.479000+00:00,False
binance-peg-weth,weth,Binance-Peg WETH,1844.78,1115285669,17386136.0,0.46,1.32,2025-05-03 22:48:04.958000+00:00,False
virtual-protocol,virtual,Virtuals Protocol,1.71,1114245479,245669305.0,-3.24,57.86,2025-05-03 22:48:06.891000+00:00,False
eos,eos,EOS,0.73,1109195031,108354832.0,1.29,8.43,2025-05-03 22:48:11.683000+00:00,False
fartcoin,fartcoin,Fartcoin,1.1,1101784471,102357302.0,-4.4,8.2,2025-05-03 22:48:15.265000+00:00,False
sei-network,sei,Sei,0.21,1070123931,60679960.0,-4.4,2.48,2025-05-03 22:48:11.661000+00:00,False
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,1918.95,1054882786,1572002.0,0.27,1.58,2025-05-03 22:48:10.357000+00:00,False
immutable-x,imx,Immutable,0.58,1048384969,47513951.0,-12.04,-7.39,2025-05-03 22:48:16.175000+00:00,True
usdt0,usdt0,USDT0,1.0,1029187149,89470659.0,-0.02,-0.0,2025-05-03 22:48:13.486000+00:00,False
story-2,ip,Story,3.78,1017923795,28637176.0,-5.86,-5.7,2025-05-03 22:48:11.166000+00:00,False
curve-dao-token,crv,Curve DAO,0.72,957534668,85771772.0,-2.36,7.45,2025-05-03 22:48:13.289000+00:00,False
injective-protocol,inj,Injective,9.73,951343167,70881404.0,-4.97,-5.19,2025-05-03 22:48:13.685000+00:00,False
paypal-usd,pyusd,PayPal USD,1.0,941595138,13801244.0,-0.02,-0.06,2025-05-03 22:48:08.020000+00:00,False
the-graph,grt,The Graph,0.09,899415216,26202453.0,-4.07,-7.73,2025-05-03 22:48:12.657000+00:00,False
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),1.0,899001307,31488777.0,-0.0,0.01,2025-05-03 22:48:09.941000+00:00,False
wbnb,wbnb,Wrapped BNB,599.76,874387371,238801197.0,-0.25,-1.43,2025-05-03 22:48:12.516000+00:00,False
rocket-pool-eth,reth,Rocket Pool ETH,2088.49,861925516,8982973.0,0.23,1.94,2025-05-03 22:48:15.363000+00:00,False
